user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
xa4T,adno****,존버맨,2006-04-26,"11,635","5,167",120209,28,1,88,70%,4%,16802,1.0
4eSS7,maxy****,max,2012-07-17,"4,831","1,382",25551,122,1,424,78%,1%,6213,0.0
9gVtS,sunh****,sun,2020-03-12,64,1,46,2,0,2,67%,0%,65,0.0
61Sxu,rlag****,rla,2017-05-16,"4,636","1,145",26055,219,0,750,75%,0%,5781,0.0
azLcb,he5r****,어트칼레,2021-08-29,921,21,2659,50,0,365,89%,0%,942,0.0
2rmdh,ball****,스니이퍼99,2021-04-01,212,13,409,15,0,19,95%,0%,225,0.0
by7xA,asse****,ass,2021-07-26,899,0,4288,61,0,48,72%,0%,899,0.0
5LEW,bill****,bil,2019-11-06,798,17,2925,8,0,9,64%,0%,815,0.0
28ij0,ihj0****,나비,2017-02-07,"2,417",745,16603,14,2,23,74%,14%,3162,0.0
1wLa6,maru****,흥해라,2008-08-23,"1,760","1,303",8670,70,1,161,67%,1%,3063,0.0
1X7j5,woor****,하루하루,2006-06-04,"4,011",979,47640,25,0,416,85%,0%,4990,0.0
42H1n,hjki****,hjk,2018-04-28,"1,108",161,4879,65,0,141,83%,0%,1269,0.0
35Rt8,love****,iman,2014-09-16,107,6,741,1,0,0,0%,0%,113,0.0
4eEDc,jkh1****,조관호,2015-06-16,"1,456",0,13904,78,0,650,72%,0%,1456,0.0
410fQ,khal****,kha,2019-05-31,"2,311",494,9330,11,1,9,100%,9%,2805,0.0
9N6Jh,htw0****,바람과구름,2019-03-26,"3,419","1,586",2958,73,0,38,84%,0%,5005,0.0
2vqOn,nam7****,남수경,2006-09-25,"5,277",575,13505,320,12,852,58%,4%,5852,0.0
2MdX4,nulb****,nulbenvada,2014-12-31,"2,358",112,7558,61,1,"1,572",98%,2%,2470,0.0
4UJPj,kjm0****,kjm,2012-08-30,"1,325",1,8597,21,0,21,66%,0%,1326,0.0
YKnl,khce****,khces,2013-03-06,"1,692",6,8845,152,9,434,84%,6%,1698,0.0
4033k,good****,멍,2017-06-03,"2,563","1,994",22766,49,3,168,91%,6%,4557,0.0
3c26k,naya****,mari,2013-09-05,"10,488",92,108856,98,0,518,89%,0%,10580,1.0
5zKHa,naja****,나잘란,2013-10-08,878,189,13164,12,0,18,56%,0%,1067,0.0
1UdOe,kiyo****,메시니,2013-03-04,231,57,853,7,0,2,67%,0%,288,0.0
2omd7,dlaw****,Just,2006-05-16,"2,192",866,12253,313,3,"1,698",73%,1%,3058,0.0
1HRyr,dsks****,원투,2008-08-16,111,34,680,5,0,16,100%,0%,145,0.0
3vdX4,nukn****,행운,2018-07-22,330,14,846,79,2,177,76%,3%,344,0.0
wGnu,ghuu****,perioe,2012-05-03,"1,085",288,29780,1,0,0,0%,0%,1373,0.0
2BlzK,sans****,san,2016-11-15,316,14,901,0,0,0,0%,0%,330,0.0
iMGJ,hann****,평범한삶,2013-02-18,363,75,2312,0,0,0,0%,0%,438,0.0
5VKVg,xavi****,생강,2014-12-11,78,22,928,0,0,0,0%,0%,100,0.0
11z6P,247h****,에라익,2008-06-28,"4,852","1,343",42128,71,0,134,64%,0%,6195,0.0
2FRb5,tjdn****,나비,2006-05-30,"5,866","2,965",26991,351,0,894,65%,0%,8831,0.0
2eIeV,top1****,top10man,2014-12-21,900,"1,353",8106,93,0,"1,316",95%,0%,2253,0.0
4oEpO,gim2****,gim,2014-06-24,300,334,5065,8,0,88,73%,0%,634,0.0
8ZRlI,ghgh****,가끔은,2016-12-26,"1,192",167,12247,30,2,145,94%,7%,1359,0.0
5NkML,mcfc****,mcf,2014-08-27,"1,313",668,4121,13,0,48,96%,0%,1981,0.0
aTfan,gins****,gin,2019-02-04,"5,453",72,41947,136,0,"2,604",96%,0%,5525,0.0
3mwdS,ever****,요코하마,2017-08-05,"1,645",64,40553,427,29,"16,208",86%,7%,1709,0.0
1eqxF,myba****,바비,2007-03-20,795,14,12109,3,0,0,0%,0%,809,0.0
3cmyT,leen****,Xman,2013-05-21,"3,512",281,24651,82,2,114,86%,2%,3793,0.0
jeyJ,caoc****,cao,2006-04-07,"6,388",267,94157,6,0,19,76%,0%,6655,0.0
3lns7,forg****,영끌,2012-08-17,"8,423","1,367",56258,143,0,316,68%,0%,9790,1.0
1GyCV,mulg****,mul,2012-12-17,"11,660",147,78183,206,0,839,54%,0%,11807,1.0
dkFH2,jnb0****,청솔골,2020-12-05,"4,490",279,28376,243,3,"1,229",88%,1%,4769,0.0
1gsu9,gold****,UDT,2014-10-29,207,47,937,19,0,55,83%,0%,254,0.0
1IZFN,ucli****,ucl,2017-03-30,146,27,491,5,0,14,74%,0%,173,0.0
3br4Q,keyo****,keyone88,2016-02-27,"6,874","1,853",38203,197,9,869,77%,5%,8727,0.0
3kwNJ,kyw6****,kyw,2016-05-17,"4,158",42,9617,74,0,134,90%,0%,4200,0.0
5WOhU,toug****,터프카이스트,2013-12-04,"12,445","2,545",73767,274,7,773,76%,3%,14990,1.0
1xfRy,leeg****,072,2017-03-08,"3,130",518,8154,171,0,379,60%,0%,3648,0.0
5FN94,chon****,O파워,2013-09-04,"10,623",17,30413,90,0,354,72%,0%,10640,1.0
1GIuk,cyva****,회색숲,2006-08-05,711,111,2592,39,0,50,30%,0%,822,0.0
nibM,pota****,아리스,2009-01-10,"1,098",88,9153,17,0,49,88%,0%,1186,0.0
3Ki7Z,sumg****,sum,2014-07-03,"2,287",171,3040,6,0,3,100%,0%,2458,0.0
2oPRq,look****,무스비,2006-08-24,"2,478",545,39471,94,1,"1,003",85%,1%,3023,0.0
1uV8z,chos****,youngboss,2006-09-29,"3,983","1,611",36111,117,1,324,69%,1%,5594,0.0
2m3HS,alfr****,alfredobin,2012-08-14,"6,757",49,29546,278,4,"1,567",85%,1%,6806,0.0
4kA1V,thdd****,양,2017-05-02,249,24,1683,1,0,1,100%,0%,273,0.0
1kIy1,tthi****,스코토마,2006-06-18,"1,404","2,721",17611,107,0,904,88%,0%,4125,0.0
8VDl,bero****,catlove,2012-09-23,"1,000",396,5294,200,9,899,83%,5%,1396,0.0
182SX,topa****,토파즈,2007-04-25,988,113,6282,46,0,755,92%,0%,1101,0.0
4Z4o4,with****,J팀장,2019-03-28,"1,257",8,2039,24,0,9,75%,0%,1265,0.0
3n2Yt,vicc****,위즈위즈,2015-12-07,"4,450",261,16900,141,0,423,88%,0%,4711,0.0
bJphW,lyco****,16,2019-03-27,98,20,837,1,1,0,0%,100%,118,0.0
1Tlb8,jamb****,지미니,2006-10-04,870,"2,528",21754,3,0,18,51%,0%,3398,0.0
4GwuR,algn****,gapbahk,2013-10-08,506,108,6655,7,1,119,98%,14%,614,0.0
2p6dy,they****,키위,2016-10-28,291,85,3389,6,0,5,56%,0%,376,0.0
3IeD6,sheo****,sheoaks,2012-06-06,203,106,891,4,0,2,100%,0%,309,0.0
17tmM,neve****,nev,2006-11-14,"1,823",188,9106,8,0,25,81%,0%,2011,0.0
dT0lh,thin****,thi,2021-07-01,63,2,211,0,0,0,0%,0%,65,0.0
m0cx,alru****,알루민,2007-09-30,216,590,969,13,1,8,100%,8%,806,0.0
5DJqP,nive****,niv,2016-09-17,388,0,4447,33,0,127,15%,0%,388,0.0
9mTGP,wkdr****,wkd,2021-07-31,217,49,514,28,0,62,63%,0%,266,0.0
hKU7,rjw6****,육백만불,2006-04-18,"4,240",162,18532,54,1,221,87%,2%,4402,0.0
2VMAH,bamh****,프쉬케,2015-09-14,11,13,82,0,0,0,0%,0%,24,0.0
2thXg,rlat****,rla,2020-03-04,433,97,615,1,0,6,86%,0%,530,0.0
pbgI,snum****,snu,2013-07-13,"2,589",341,15968,156,1,966,78%,1%,2930,0.0
1iY3r,yksm****,yksmisi,2011-03-30,"2,598",126,9507,177,12,808,73%,7%,2724,0.0
52LwL,blew****,안토니오,2013-01-07,467,141,4889,2,2,2,100%,100%,608,0.0
4ZTOG,jayj****,jayjang,2017-05-15,"4,806",46,24484,381,5,"1,851",73%,1%,4852,0.0
2Mh5e,yeoe****,MInDLE,2014-06-20,130,0,809,5,1,71,88%,20%,130,0.0
1vluA,sinh****,가출소녀,2016-05-27,"1,822",758,4716,1,0,0,0%,0%,2580,0.0
nmz0,fe06****,치포치포,2012-11-06,"1,018",109,8539,9,0,23,85%,0%,1127,0.0
3z3EE,sih3****,아둘둘맘,2015-01-14,"1,099",2,6522,31,0,90,87%,0%,1101,0.0
2aRaq,boln****,bolneto,2021-09-28,"1,062",104,5118,53,0,103,58%,0%,1166,0.0
aED6K,jhsy****,jhs,2018-04-27,"2,714","1,401",29105,215,4,650,66%,2%,4115,0.0
ec6T,wate****,토모나리유키치,2012-07-01,"1,590","1,155",10939,5,0,4,50%,0%,2745,0.0
12yjH,uad3****,다시찾은행복,2015-03-27,"7,844","2,456",45036,51,19,117,67%,37%,10300,1.0
5qace,ryul****,ryu,2013-02-04,"8,025",107,31669,346,1,"1,902",69%,0%,8132,0.0
2fcQi,ni80****,라오공,2018-02-06,"6,867",32,33241,94,0,447,83%,0%,6899,0.0
SmeH,yuki****,하루,2013-05-01,283,58,8013,2,0,17,94%,0%,341,0.0
30T1D,love****,lov,2009-08-15,25,2,22,2,0,0,0%,0%,27,0.0
4mSsD,chan****,나르시스,2012-09-26,"1,150",16,2443,53,0,85,87%,0%,1166,0.0
38n1S,imga****,공검,2008-04-01,"1,410",245,9780,3,0,1,33%,0%,1655,0.0
3jSpG,luke****,루키룩,2008-03-15,"2,641","4,516",20563,128,0,287,68%,0%,7157,0.0
20KSJ,gusr****,gus,2014-06-04,257,23,439,19,0,39,48%,0%,280,0.0
